"Id","username","V","aid","date","timestamp","vs"
"552344887","yiliu_shenburke","","1359","2022-11-13","1668342084","U"
"1143171902665560065","yilix_u","","371","2023-03-11","1678540323","B"
"2694310593","yillexx","","18","2023-03-15","1678863524","B"
"481973608","yilmaz_aytekin","","14615","2023-04-14","1681460860","B"
"86719278","yilmaz_hakan","","29934","2023-03-15","1678863675","B"
"73604923","yilmaz_mesut","","24388","2022-12-30","1672434819","B"
"586866381","YILMAZ_NAGAY","","439","2023-04-10","1681158948","B"
"2734000570","yilmaz_tuzel","","498","2023-01-11","1673471892","B"
"49472380","yilmazbozan","","4609","2023-04-06","1680802114","B"
"1339392649","YilmazCansin","","6373","2023-03-18","1679155542","B"
"277444134","yilmazerdogan","V","4386337","2023-04-01","1680367542","B"
"1408119825180860423","YilmazFNK","","19603","2023-01-11","1673475172","B"
"4735645515","yilmazgul35352","","104498","2023-01-11","1673472237","B"
"1271469038603046916","yilmazkaplanx","","14700","2023-04-12","1681301334","B"
"1045327991964872704","yilmazkoleoglu_","","54681","2023-03-14","1678783348","B"
"97097480","yilmazkuday","","1636","2022-12-16","1671184826","B"
"1571505424939073539","yilmazkursad40","","19","2023-03-04","1677938635","B"
"1383992888","yilmaznews","","44450","2023-03-14","1678797883","S"
"102395301","yilmazsatti","","3014","2023-03-24","1679663220","B"
"153477589","yilmazsenerr","","1361","2023-03-24","1679663500","B"
"1499502652090114052","yilmaztekinFuat","","62","2023-04-10","1681159036","B"
"2477301697","yilmaztugsad","","154","2023-02-18","1676739683","B"
"496314611","Yilmazuk","","71","2023-03-22","1679469367","B"
"1488766739911483394","yilmazzUNSAL","","69","2023-04-14","1681460557","B"
"1362748439109324812","yilosia","","391","2022-11-13","1668344385","U"
"394193075","yiloxbt","","107","2023-04-08","1680979897","B"
"303205747","yilunzh","","1142","2023-02-10","1676067913","B"
"322582788","Yim455","","270","2023-04-07","1680840834","B"
"9791362","yimajo","","2118","2023-01-19","1674159707","B"
"1221869640516874241","YIMBYLAND","","10156","2023-03-24","1679663314","B"
"531909059","yimbytweets","","13723","2023-03-31","1680236978","B"
"1674392808","YimengShi","","0","2022-11-13","1668342329","U"
"1583510923083276289","yiminplus","","55","2023-03-16","1678973739","B"
"1276886932006600704","yimmymerkaba","","189","2022-11-11","1668137283","U"
"1335294643160969216","YimQil","","388","2022-11-13","1668344304","B"
"1188797552","yimsiam_","","2520","2023-01-27","1674802584","B"
"913832742","yimugitw","","84","2023-03-15","1678863683","B"
"227640606","YimYim007","","253","2023-04-07","1680886773","B"
"1169351098806784001","yImzmeIt","","11814","2023-04-12","1681301286","B"
"1404917038246633474","Yin_NGMI","","8052","2023-04-01","1680374484","B"
"794739734136254464","Yin2K","","1217","2022-11-13","1668343083","U"
"911559095739547648","yinagaki777","","25317","2023-01-19","1674160009","B"
"1331047275905380354","yincitygold","","219","2023-04-11","1681235427","B"
"718573891","yingchen69","","14","2023-02-03","1675402162","B"
"2572155504","yinge133","","13237","2023-02-11","1676093419","U"
